5, 995, 85, false
6, 1011, 83, true
4, 1009, 91, true
5, 1017, 89, true
4, 1033, 89, false
3, 1027, 90, true
2, 1033, 88, true
1, 1045, 86, true
-1, 1053, 83, true
-3, 1046, 80, false
-3, 1041, 82, false
0, 1044, 88, false
-1, 1051, 93, false
0, 1048, 85, true
5, 1054, 92, false
8, 1051, 94, false
10, 1045, 80, false
9, 1041, 81, true
10, 1036, 87, true
6, 1048, 73, false
8, 1043, 86, true
7, 1033, 85, true
6, 1032, 84, true
11, 1036, 85, false
9, 1035, 69, false
4, 1040, 78, true
4, 1046, 89, false
8, 1045, 90, true
9, 1027, 75, false
7, 1020, 77, true
8, 1010, 76, false
4, 1010, 86, true
4, 1019, 88, true
2, 1027, 85, false
2, 1022, 81, false
2, 1014, 82, false
0, 1013, 92, true
2, 1041, 79, true
0, 1061, 77, false
0, 1045, 80, false
0, 1037, 84, true
4, 1045, 81, false
7, 1034, 88, true
10, 1032, 90, true
7, 1030, 86, true
4, 1037, 84, true
2, 1040, 82, false
1, 1039, 85, false
1, 1039, 80, false
2, 1036, 68, false
2, 1044, 74, false
1, 1047, 74, false
3, 1031, 87, true
4, 1017, 85, true
3, 1026, 80, false
0, 1017, 91, true
0, 1022, 85, false
2, 1023, 87, true
3, 1028, 82, true
3, 1037, 81, true
4, 1029, 67, false
4, 1042, 66, false
3, 1051, 81, false
3, 1055, 71, false
5, 1064, 68, false
4, 1056, 65, false
5, 1055, 86, false
4, 1056, 64, false
6, 1051, 68, false
5, 1047, 83, false
6, 1047, 73, false
7, 1044, 84, true
7, 1043, 84, false
7, 1037, 83, false
7, 1036, 83, false
8, 1037, 81, false
5, 1039, 90, true
11, 1032, 70, true
9, 1027, 74, true
9, 1018, 67, false
7, 1027, 78, true
8, 1033, 72, false
7, 1038, 75, false
8, 1044, 64, false
11, 1037, 67, true
15, 1031, 72, true
12, 1029, 76, false
10, 1031, 81, true
8, 1031, 79, true
7, 1032, 79, true
6, 1034, 83, false
9, 1031, 66, false
11, 1035, 68, true
13, 1033, 56, false
13, 1033, 67, true
10, 1032, 78, false
11, 1034, 68, false
10, 1025, 83, true
9, 1023, 77, true
6, 1034, 74, false
7, 1043, 71, false
10, 1049, 65, false
9, 1055, 66, false
11, 1049, 58, false
9, 1044, 66, false
5, 1038, 77, true
4, 1037, 77, true
4, 1027, 83, true
4, 1022, 84, false
5, 1031, 81, true
6, 1037, 71, false
7, 1036, 79, true
7, 1044, 73, false
8, 1050, 64, false
13, 1044, 63, true
9, 1050, 67, false
11, 1052, 56, false
15, 1045, 45, false
18, 1035, 54, false
22, 1034, 40, false
22, 1035, 39, false
21, 1035, 44, false
20, 1031, 58, false
22, 1027, 48, false
21, 1024, 47, false
16, 1031, 54, false
9, 1039, 60, false
9, 1043, 65, true
10, 1045, 69, false
13, 1037, 63, false
14, 1030, 72, true
13, 1035, 77, false
14, 1039, 78, false
19, 1033, 64, false
15, 1029, 85, true
11, 1038, 88, true
11, 1040, 75, false
12, 1039, 83, false
15, 1039, 75, false
17, 1039, 71, false
18, 1036, 75, false
17, 1031, 79, true
16, 1030, 88, true
19, 1033, 73, false
20, 1038, 80, false
16, 1036, 85, false
17, 1037, 85, false
21, 1037, 73, false
20, 1043, 69, false
