5, 995, 85, 0
6, 1011, 83, 1
4, 1009, 91, 1
5, 1017, 89, 1
4, 1033, 89, 0
3, 1027, 90, 1
2, 1033, 88, 1
1, 1045, 86, 1
-1, 1053, 83, 1
-3, 1046, 80, 0
-3, 1041, 82, 0
0, 1044, 88, 0
-1, 1051, 93, 0
0, 1048, 85, 1
5, 1054, 92, 0
8, 1051, 94, 0
10, 1045, 80, 0
9, 1041, 81, 1
10, 1036, 87, 1
6, 1048, 73, 0
8, 1043, 86, 1
7, 1033, 85, 1
6, 1032, 84, 1
11, 1036, 85, 0
9, 1035, 69, 0
4, 1040, 78, 1
4, 1046, 89, 0
8, 1045, 90, 1
9, 1027, 75, 0
7, 1020, 77, 1
8, 1010, 76, 0
4, 1010, 86, 1
4, 1019, 88, 1
2, 1027, 85, 0
2, 1022, 81, 0
2, 1014, 82, 0
0, 1013, 92, 1
2, 1041, 79, 1
0, 1061, 77, 0
0, 1045, 80, 0
0, 1037, 84, 1
4, 1045, 81, 0
7, 1034, 88, 1
10, 1032, 90, 1
7, 1030, 86, 1
4, 1037, 84, 1
2, 1040, 82, 0
1, 1039, 85, 0
1, 1039, 80, 0
2, 1036, 68, 0
2, 1044, 74, 0
1, 1047, 74, 0
3, 1031, 87, 1
4, 1017, 85, 1
3, 1026, 80, 0
0, 1017, 91, 1
0, 1022, 85, 0
2, 1023, 87, 1
3, 1028, 82, 1
3, 1037, 81, 1
4, 1029, 67, 0
4, 1042, 66, 0
3, 1051, 81, 0
3, 1055, 71, 0
5, 1064, 68, 0
4, 1056, 65, 0
5, 1055, 86, 0
4, 1056, 64, 0
6, 1051, 68, 0
5, 1047, 83, 0
6, 1047, 73, 0
7, 1044, 84, 1
7, 1043, 84, 0
7, 1037, 83, 0
7, 1036, 83, 0
8, 1037, 81, 0
5, 1039, 90, 1
11, 1032, 70, 1
9, 1027, 74, 1
9, 1018, 67, 0
7, 1027, 78, 1
8, 1033, 72, 0
7, 1038, 75, 0
8, 1044, 64, 0
11, 1037, 67, 1
15, 1031, 72, 1
12, 1029, 76, 0
10, 1031, 81, 1
8, 1031, 79, 1
7, 1032, 79, 1
6, 1034, 83, 0
9, 1031, 66, 0
11, 1035, 68, 1
13, 1033, 56, 0
13, 1033, 67, 1
10, 1032, 78, 0
11, 1034, 68, 0
10, 1025, 83, 1
9, 1023, 77, 1
6, 1034, 74, 0
7, 1043, 71, 0
10, 1049, 65, 0
9, 1055, 66, 0
11, 1049, 58, 0
9, 1044, 66, 0
5, 1038, 77, 1
4, 1037, 77, 1
4, 1027, 83, 1
4, 1022, 84, 0
5, 1031, 81, 1
6, 1037, 71, 0
7, 1036, 79, 1
7, 1044, 73, 0
8, 1050, 64, 0
13, 1044, 63, 1
9, 1050, 67, 0
11, 1052, 56, 0
15, 1045, 45, 0
18, 1035, 54, 0
22, 1034, 40, 0
22, 1035, 39, 0
21, 1035, 44, 0
20, 1031, 58, 0
22, 1027, 48, 0
21, 1024, 47, 0
16, 1031, 54, 0
9, 1039, 60, 0
9, 1043, 65, 1
10, 1045, 69, 0
13, 1037, 63, 0
14, 1030, 72, 1
13, 1035, 77, 0
14, 1039, 78, 0
19, 1033, 64, 0
15, 1029, 85, 1
11, 1038, 88, 1
11, 1040, 75, 0
12, 1039, 83, 0
15, 1039, 75, 0
17, 1039, 71, 0
18, 1036, 75, 0
17, 1031, 79, 1
16, 1030, 88, 1
19, 1033, 73, 0
20, 1038, 80, 0
16, 1036, 85, 0
17, 1037, 85, 0
21, 1037, 73, 0
20, 1043, 69, 0
20, 1046, 65, 0
21, 1048, 67, 0
17, 1048, 72, 0
16, 1043, 63, 0
18, 1037, 60, 1
17, 1035, 70, 0
17, 1031, 76, 1
16, 1023, 85, 0
16, 1020, 84, 1
14, 1020, 86, 0
16, 1024, 71, 1
15, 1028, 85, 1
14, 1039, 81, 1
16, 1046, 66, 0
15, 1038, 90, 1
17, 1041, 89, 1
21, 1044, 74, 1
23, 1040, 83, 1
19, 1040, 79, 0
16, 1040, 82, 0
15, 1039, 84, 1
14, 1040, 83, 0
18, 1036, 70, 1
16, 1033, 76, 0
16, 1033, 86, 1
16, 1033, 82, 1
16, 1035, 70, 1
15, 1042, 77, 0
18, 1042, 67, 0
16, 1037, 80, 0
16, 1043, 70, 1
17, 1043, 67, 0
18, 1037, 78, 1
20, 1039, 71, 0
22, 1031, 65, 0
19, 1032, 68, 0
17, 1034, 78, 1
